Species,Data_source,Predictor,Distributional_range,Model_score
Prunella collaris,standardized,climate-based,II,0.99
Prunella collaris,standardized,combination,II,0.98
Prunella collaris,standardized,habitat-based,II,0.98
Prunella modularis,standardized,climate-based,IV,0.98
Prunella modularis,standardized,combination,IV,0.97
Prunella modularis,standardized,habitat-based,IV,0.97
Pterocles alchata,standardized,climate-based,II,0.94
Pterocles alchata,standardized,combination,II,0.95
Pterocles alchata,standardized,habitat-based,II,0.92
Pterocles orientalis,standardized,climate-based,III,0.88
Pterocles orientalis,standardized,combination,III,0.9
Pterocles orientalis,standardized,habitat-based,III,0.88
Ptyonoprogne rupestris,standardized,climate-based,IV,0.85
Ptyonoprogne rupestris,standardized,combination,IV,0.84
Ptyonoprogne rupestris,standardized,habitat-based,IV,0.84
Pyrrhocorax graculus,standardized,climate-based,II,0.99
Pyrrhocorax graculus,standardized,combination,II,0.98
Pyrrhocorax graculus,standardized,habitat-based,II,0.97
Pyrrhocorax pyrrhocorax,standardized,climate-based,IV,0.89
Pyrrhocorax pyrrhocorax,standardized,combination,IV,0.87
Pyrrhocorax pyrrhocorax,standardized,habitat-based,IV,0.83
Pyrrhula pyrrhula,standardized,climate-based,IV,0.99
Pyrrhula pyrrhula,standardized,combination,IV,0.99
Pyrrhula pyrrhula,standardized,habitat-based,IV,0.98
Rallus aquaticus,standardized,climate-based,III,0.86
Rallus aquaticus,standardized,combination,III,0.91
Rallus aquaticus,standardized,habitat-based,III,0.99
Recurvirostra avosetta,standardized,climate-based,II,0.94
Recurvirostra avosetta,standardized,combination,II,0.92
Recurvirostra avosetta,standardized,habitat-based,II,0.9
Regulus ignicapilla,standardized,climate-based,IV,0.93
Regulus ignicapilla,standardized,combination,IV,0.92
Regulus ignicapilla,standardized,habitat-based,IV,0.91
Regulus regulus,standardized,climate-based,II,0.96
Regulus regulus,standardized,combination,II,0.95
Regulus regulus,standardized,habitat-based,II,0.96
Remiz pendulinus,standardized,climate-based,III,0.91
Remiz pendulinus,standardized,combination,III,0.88
Remiz pendulinus,standardized,habitat-based,III,0.85
Riparia riparia,standardized,climate-based,IV,0.88
Riparia riparia,standardized,combination,IV,0.86
Riparia riparia,standardized,habitat-based,IV,0.99
Saxicola rubetra,standardized,climate-based,II,0.94
Saxicola rubetra,standardized,combination,II,0.93
Saxicola rubetra,standardized,habitat-based,II,0.91
Scolopax rusticola,standardized,climate-based,II,0.98
Scolopax rusticola,standardized,combination,II,0.97
Scolopax rusticola,standardized,habitat-based,II,0.97
Serinus serinus,standardized,climate-based,IV,0.93
Serinus serinus,standardized,combination,IV,0.91
Serinus serinus,standardized,habitat-based,IV,0.82
Sitta europaea,standardized,climate-based,IV,0.88
Sitta europaea,standardized,combination,IV,0.88
Sitta europaea,standardized,habitat-based,IV,0.86
Spinus spinus,standardized,climate-based,II,0.87
Spinus spinus,standardized,combination,II,0.86
Spinus spinus,standardized,habitat-based,II,0.87
Sterna hirundo,standardized,climate-based,I,0.95
Sterna hirundo,standardized,combination,I,0.94
Sterna hirundo,standardized,habitat-based,I,0.89
Sterna nilotica,standardized,climate-based,II,0.93
Sterna nilotica,standardized,combination,II,0.93
Sterna nilotica,standardized,habitat-based,II,0.92
Sternula albifrons,standardized,climate-based,II,0.95
Sternula albifrons,standardized,combination,II,0.93
Sternula albifrons,standardized,habitat-based,II,0.93
Streptopelia decaocto,standardized,climate-based,IV,0.92
Streptopelia decaocto,standardized,combination,IV,0.99
Streptopelia decaocto,standardized,habitat-based,IV,0.99
Streptopelia turtur,standardized,climate-based,IV,0.89
Streptopelia turtur,standardized,combination,IV,0.86
Streptopelia turtur,standardized,habitat-based,IV,0.89
Strix aluco,standardized,climate-based,IV,0.84
Strix aluco,standardized,combination,IV,0.83
Strix aluco,standardized,habitat-based,IV,0.81
Sturnus unicolor,standardized,climate-based,IV,0.89
Sturnus unicolor,standardized,combination,IV,0.89
Sturnus unicolor,standardized,habitat-based,IV,0.85
Sturnus vulgaris,standardized,climate-based,II,0.97
Sturnus vulgaris,standardized,combination,II,0.96
Sturnus vulgaris,standardized,habitat-based,II,0.87
Sylvia atricapilla,standardized,climate-based,IV,0.87
Sylvia atricapilla,standardized,combination,IV,0.86
Sylvia atricapilla,standardized,habitat-based,IV,0.86
Sylvia borin,standardized,climate-based,IV,0.93
Sylvia borin,standardized,combination,IV,0.92
Sylvia borin,standardized,habitat-based,IV,0.89
Sylvia cantillans,standardized,climate-based,IV,0.87
Sylvia cantillans,standardized,combination,IV,0.86
Sylvia cantillans,standardized,habitat-based,IV,0.83
Sylvia communis,standardized,climate-based,IV,0.87
Sylvia communis,standardized,combination,IV,0.85
Sylvia communis,standardized,habitat-based,IV,0.83
Sylvia conspicillata,standardized,climate-based,IV,0.85
Sylvia conspicillata,standardized,combination,IV,0.84
Sylvia conspicillata,standardized,habitat-based,IV,0.82
Sylvia hortensis,standardized,climate-based,IV,0.86
Sylvia hortensis,standardized,combination,IV,0.85
Sylvia hortensis,standardized,habitat-based,IV,0.88
Sylvia melanocephala,standardized,climate-based,IV,0.92
Sylvia melanocephala,standardized,combination,IV,0.9
Sylvia melanocephala,standardized,habitat-based,IV,0.88
Sylvia undata,standardized,climate-based,IV,0.8
Sylvia undata,standardized,combination,IV,0.75
Sylvia undata,standardized,habitat-based,IV,0.73
Tachybaptus ruficollis,standardized,climate-based,IV,0.89
Tachybaptus ruficollis,standardized,combination,IV,0.87
Tachybaptus ruficollis,standardized,habitat-based,IV,0.81
Tadorna tadorna,standardized,climate-based,I,0.77
Tadorna tadorna,standardized,combination,I,0.73
Tadorna tadorna,standardized,habitat-based,I,0.73
Tetrax tetrax,standardized,climate-based,IV,0.82
Tetrax tetrax,standardized,combination,IV,0.83
Tetrax tetrax,standardized,habitat-based,IV,0.84
Tichodroma muraria,standardized,climate-based,I,0.91
Tichodroma muraria,standardized,combination,I,0.91
Tichodroma muraria,standardized,habitat-based,I,0.88
Tringa ochropus,standardized,climate-based,I,0.64
Tringa ochropus,standardized,combination,I,0.61
Tringa ochropus,standardized,habitat-based,I,0.66
Tringa totanus,standardized,climate-based,II,0.81
Tringa totanus,standardized,combination,II,0.79
Tringa totanus,standardized,habitat-based,II,0.76
Troglodytes troglodytes,standardized,climate-based,IV,0.72
Troglodytes troglodytes,standardized,combination,IV,0.72
Troglodytes troglodytes,standardized,habitat-based,IV,0.7
Turdus merula,standardized,climate-based,IV,0.6
Turdus merula,standardized,combination,IV,0.6
Turdus merula,standardized,habitat-based,IV,0.56
Turdus philomelos,standardized,climate-based,IV,0.77
Turdus philomelos,standardized,combination,IV,0.78
Turdus philomelos,standardized,habitat-based,IV,0.76
Turdus torquatus,standardized,climate-based,II,0.83
Turdus torquatus,standardized,combination,II,0.81
Turdus torquatus,standardized,habitat-based,II,0.83
Turdus viscivorus,standardized,climate-based,IV,0.69
Turdus viscivorus,standardized,combination,IV,0.69
Turdus viscivorus,standardized,habitat-based,IV,0.67
Tyto alba,standardized,climate-based,IV,0.73
Tyto alba,standardized,combination,IV,0.74
Tyto alba,standardized,habitat-based,IV,0.75
Upupa epops,standardized,climate-based,IV,0.61
Upupa epops,standardized,combination,IV,0.6
Upupa epops,standardized,habitat-based,IV,0.62
Vanellus vanellus,standardized,climate-based,II,0.71
Vanellus vanellus,standardized,combination,II,0.73
Vanellus vanellus,standardized,habitat-based,II,0.73
Accipiter gentilis,non-standardized,climate-based,II,0.54
Accipiter gentilis,non-standardized,combination,II,0.53
Accipiter gentilis,non-standardized,habitat-based,II,0.57
Accipiter nisus,non-standardized,climate-based,III,0.6
Accipiter nisus,non-standardized,combination,III,0.6
Accipiter nisus,non-standardized,habitat-based,III,0.6
Acrocephalus arundinaceus,non-standardized,climate-based,II,0.69
Acrocephalus arundinaceus,non-standardized,combination,II,0.68
Acrocephalus arundinaceus,non-standardized,habitat-based,II,0.68
Acrocephalus melanopogon,non-standardized,climate-based,I,0.87
Acrocephalus melanopogon,non-standardized,combination,I,0.75
Acrocephalus melanopogon,non-standardized,habitat-based,I,0.62
Acrocephalus schoenobaenus,non-standardized,climate-based,II,0.81
Acrocephalus schoenobaenus,non-standardized,combination,II,0.71
Acrocephalus schoenobaenus,non-standardized,habitat-based,II,0.67
Acrocephalus scirpaceus,non-standardized,climate-based,II,0.67
Acrocephalus scirpaceus,non-standardized,combination,II,0.6
Acrocephalus scirpaceus,non-standardized,habitat-based,II,0.64
Actitis hypoleucos,non-standardized,climate-based,III,0.54
Actitis hypoleucos,non-standardized,combination,III,0.56
Actitis hypoleucos,non-standardized,habitat-based,III,0.55
Aegithalos caudatus,non-standardized,climate-based,IV,0.66
Aegithalos caudatus,non-standardized,combination,IV,0.66
Aegithalos caudatus,non-standardized,habitat-based,IV,0.66
Aegolius funereus,non-standardized,climate-based,I,0.95
Aegolius funereus,non-standardized,combination,I,0.93
Aegolius funereus,non-standardized,habitat-based,I,0.9
Aegypius monachus,non-standardized,climate-based,II,0.85
Aegypius monachus,non-standardized,combination,II,0.86
Aegypius monachus,non-standardized,habitat-based,II,0.78
Alauda arvensis,non-standardized,climate-based,III,0.54
Alauda arvensis,non-standardized,combination,III,0.52
Alauda arvensis,non-standardized,habitat-based,III,0.53
Alcedo atthis,non-standardized,climate-based,III,0.67
Alcedo atthis,non-standardized,combination,III,0.67
Alcedo atthis,non-standardized,habitat-based,III,0.67
Alectoris rufa,non-standardized,climate-based,IV,0.65
Alectoris rufa,non-standardized,combination,IV,0.62
Alectoris rufa,non-standardized,habitat-based,IV,0.64
Anas acuta,non-standardized,climate-based,II,0.81
Anas acuta,non-standardized,combination,II,0.84
Anas acuta,non-standardized,habitat-based,II,0.78
Anas clypeata,non-standardized,climate-based,II,0.73
Anas clypeata,non-standardized,combination,II,0.71
Anas clypeata,non-standardized,habitat-based,II,0.69
Anas crecca,non-standardized,climate-based,II,0.69
Anas crecca,non-standardized,combination,II,0.64
Anas crecca,non-standardized,habitat-based,II,0.62
Anas platyrhynchos,non-standardized,climate-based,IV,0.65
Anas platyrhynchos,non-standardized,combination,IV,0.67
Anas platyrhynchos,non-standardized,habitat-based,IV,0.69
Anas querquedula,non-standardized,climate-based,II,0.73
Anas querquedula,non-standardized,combination,II,0.72
Anas querquedula,non-standardized,habitat-based,II,0.74
Anas strepera,non-standardized,climate-based,II,0.8
Anas strepera,non-standardized,combination,II,0.79
Anas strepera,non-standardized,habitat-based,II,0.75
Anthus campestris,non-standardized,climate-based,II,0.6
Anthus campestris,non-standardized,combination,II,0.58
Anthus campestris,non-standardized,habitat-based,II,0.55
Anthus pratensis,non-standardized,climate-based,IV,0.51
Anthus pratensis,non-standardized,combination,IV,0.5
Anthus pratensis,non-standardized,habitat-based,IV,0.53
Anthus spinoletta,non-standardized,climate-based,II,0.87
Anthus spinoletta,non-standardized,combination,II,0.9
Anthus spinoletta,non-standardized,habitat-based,II,0.94
Anthus trivialis,non-standardized,climate-based,II,0.83
Anthus trivialis,non-standardized,combination,II,0.82
Anthus trivialis,non-standardized,habitat-based,II,0.8
Apus apus,non-standardized,climate-based,IV,0.57
Apus apus,non-standardized,combination,IV,0.54
Apus apus,non-standardized,habitat-based,IV,0.53
Apus caffer,non-standardized,climate-based,I,0.87
Apus caffer,non-standardized,combination,I,0.88
Apus caffer,non-standardized,habitat-based,I,0.8
Apus melba,non-standardized,climate-based,II,0.72
Apus melba,non-standardized,combination,II,0.69
Apus melba,non-standardized,habitat-based,II,0.58
Apus pallidus,non-standardized,climate-based,II,0.87
Apus pallidus,non-standardized,combination,II,0.86
Apus pallidus,non-standardized,habitat-based,II,0.75
Aquila adalberti,non-standardized,climate-based,II,0.87
Aquila adalberti,non-standardized,combination,II,0.88
Aquila adalberti,non-standardized,habitat-based,II,0.78
Aquila chrysaetos,non-standardized,climate-based,III,0.7
Aquila chrysaetos,non-standardized,combination,III,0.64
Aquila chrysaetos,non-standardized,habitat-based,III,0.58
Aquila fasciata,non-standardized,climate-based,II,0.71
Aquila fasciata,non-standardized,combination,II,0.69
Aquila fasciata,non-standardized,habitat-based,II,0.67
Ardea alba,non-standardized,climate-based,II,0.81
Ardea alba,non-standardized,combination,II,0.73
Ardea alba,non-standardized,habitat-based,II,0.76
Ardea cinerea,non-standardized,climate-based,IV,0.69
Ardea cinerea,non-standardized,combination,IV,0.7
Ardea cinerea,non-standardized,habitat-based,IV,0.7
Ardea purpurea,non-standardized,climate-based,II,0.82
Ardea purpurea,non-standardized,combination,II,0.76
Ardea purpurea,non-standardized,habitat-based,II,0.73
Ardeola ralloides,non-standardized,climate-based,II,0.89
Ardeola ralloides,non-standardized,combination,II,0.83
Ardeola ralloides,non-standardized,habitat-based,II,0.82
Asio flammeus,non-standardized,climate-based,II,0.63
Asio flammeus,non-standardized,combination,II,0.7
Asio flammeus,non-standardized,habitat-based,II,0.72
Asio otus,non-standardized,climate-based,II,0.52
Asio otus,non-standardized,combination,II,0.56
Asio otus,non-standardized,habitat-based,II,0.57
Athene noctua,non-standardized,climate-based,III,0.72
Athene noctua,non-standardized,combination,III,0.67
Athene noctua,non-standardized,habitat-based,III,0.7
Aythya ferina,non-standardized,climate-based,II,0.77
Aythya ferina,non-standardized,combination,II,0.72
Aythya ferina,non-standardized,habitat-based,II,0.71
Aythya fuligula,non-standardized,climate-based,II,0.73
Aythya fuligula,non-standardized,combination,II,0.76
Aythya fuligula,non-standardized,habitat-based,II,0.73
Aythya nyroca,non-standardized,climate-based,I,0.97
Aythya nyroca,non-standardized,combination,I,0.81
Aythya nyroca,non-standardized,habitat-based,I,0.77
Botaurus stellaris,non-standardized,climate-based,I,0.8
Botaurus stellaris,non-standardized,combination,I,0.67
Botaurus stellaris,non-standardized,habitat-based,I,0.69
Bubo bubo,non-standardized,climate-based,II,0.63
Bubo bubo,non-standardized,combination,II,0.59
Bubo bubo,non-standardized,habitat-based,II,0.59
Bubulcus ibis,non-standardized,climate-based,III,0.86
Bubulcus ibis,non-standardized,combination,III,0.86
Bubulcus ibis,non-standardized,habitat-based,III,0.84
Bucanetes githagineus,non-standardized,climate-based,I,0.92
Bucanetes githagineus,non-standardized,combination,I,0.98
Bucanetes githagineus,non-standardized,habitat-based,I,0.97
Burhinus oedicnemus,non-standardized,climate-based,II,0.71
Burhinus oedicnemus,non-standardized,combination,II,0.76
Burhinus oedicnemus,non-standardized,habitat-based,II,0.74
Buteo buteo,non-standardized,climate-based,IV,0.65
Buteo buteo,non-standardized,combination,IV,0.7
Buteo buteo,non-standardized,habitat-based,IV,0.71
Calandrella brachydactyla,non-standardized,climate-based,II,0.65
Calandrella brachydactyla,non-standardized,combination,II,0.68
Calandrella brachydactyla,non-standardized,habitat-based,II,0.66
Calandrella rufescens,non-standardized,climate-based,I,0.88
Calandrella rufescens,non-standardized,combination,I,0.9
Calandrella rufescens,non-standardized,habitat-based,I,0.86
Caprimulgus europaeus,non-standardized,climate-based,II,0.71
Caprimulgus europaeus,non-standardized,combination,II,0.69
Caprimulgus europaeus,non-standardized,habitat-based,II,0.67
Caprimulgus ruficollis,non-standardized,climate-based,II,0.77
Caprimulgus ruficollis,non-standardized,combination,II,0.76
Caprimulgus ruficollis,non-standardized,habitat-based,II,0.75
Carduelis carduelis,non-standardized,climate-based,IV,0.5
Carduelis carduelis,non-standardized,combination,IV,0.51
Carduelis carduelis,non-standardized,habitat-based,IV,0.52
Carduelis citrinella,non-standardized,climate-based,II,0.93
Carduelis citrinella,non-standardized,combination,II,0.91
Carduelis citrinella,non-standardized,habitat-based,II,0.91
Cecropis daurica,non-standardized,climate-based,III,0.86
Cecropis daurica,non-standardized,combination,III,0.86
Cecropis daurica,non-standardized,habitat-based,III,0.82
Certhia brachydactyla,non-standardized,climate-based,IV,0.74
Certhia brachydactyla,non-standardized,combination,IV,0.73
Certhia brachydactyla,non-standardized,habitat-based,IV,0.71
Certhia familiaris,non-standardized,climate-based,I,0.97
Certhia familiaris,non-standardized,combination,I,0.96
Certhia familiaris,non-standardized,habitat-based,I,0.97
Cettia cetti,non-standardized,climate-based,III,0.61
Cettia cetti,non-standardized,combination,III,0.61
Cettia cetti,non-standardized,habitat-based,III,0.58
Charadrius alexandrinus,non-standardized,climate-based,II,0.91
Charadrius alexandrinus,non-standardized,combination,II,0.85
Charadrius alexandrinus,non-standardized,habitat-based,II,0.78
Charadrius dubius,non-standardized,climate-based,III,0.73
Charadrius dubius,non-standardized,combination,III,0.7
Charadrius dubius,non-standardized,habitat-based,III,0.72
Chersophilus duponti,non-standardized,climate-based,I,0.88
Chersophilus duponti,non-standardized,combination,I,0.87
Chersophilus duponti,non-standardized,habitat-based,I,0.8
Chlidonias hybrida,non-standardized,climate-based,II,0.8
Chlidonias hybrida,non-standardized,combination,II,0.8
Chlidonias hybrida,non-standardized,habitat-based,II,0.8
Chlidonias niger,non-standardized,climate-based,II,0.73
Chlidonias niger,non-standardized,combination,II,0.71
Chlidonias niger,non-standardized,habitat-based,II,0.66
Chloris chloris,non-standardized,climate-based,IV,0.62
Chloris chloris,non-standardized,combination,IV,0.59
Chloris chloris,non-standardized,habitat-based,IV,0.55
Ciconia ciconia,non-standardized,climate-based,IV,0.78
Ciconia ciconia,non-standardized,combination,IV,0.83
Ciconia ciconia,non-standardized,habitat-based,IV,0.81
Ciconia nigra,non-standardized,climate-based,II,0.83
Ciconia nigra,non-standardized,combination,II,0.82
Ciconia nigra,non-standardized,habitat-based,II,0.81
Cinclus cinclus,non-standardized,climate-based,II,0.88
Cinclus cinclus,non-standardized,combination,II,0.84
Cinclus cinclus,non-standardized,habitat-based,II,0.87
Circaetus gallicus,non-standardized,climate-based,III,0.67
Circaetus gallicus,non-standardized,combination,III,0.66
Circaetus gallicus,non-standardized,habitat-based,III,0.64
Circus aeruginosus,non-standardized,climate-based,III,0.72
Circus aeruginosus,non-standardized,combination,III,0.73
Circus aeruginosus,non-standardized,habitat-based,III,0.71
Circus cyaneus,non-standardized,climate-based,II,0.66
Circus cyaneus,non-standardized,combination,II,0.68
Circus cyaneus,non-standardized,habitat-based,II,0.66
Circus pygargus,non-standardized,climate-based,III,0.67
Circus pygargus,non-standardized,combination,III,0.69
Circus pygargus,non-standardized,habitat-based,III,0.68
Cisticola juncidis,non-standardized,climate-based,III,0.77
Cisticola juncidis,non-standardized,combination,III,0.71
Cisticola juncidis,non-standardized,habitat-based,III,0.71
Clamator glandarius,non-standardized,climate-based,II,0.62
Clamator glandarius,non-standardized,combination,II,0.63
Clamator glandarius,non-standardized,habitat-based,II,0.67
Coccothraustes coccothraustes,non-standardized,climate-based,II,0.64
Coccothraustes coccothraustes,non-standardized,combination,II,0.67
Coccothraustes coccothraustes,non-standardized,habitat-based,II,0.67
Columba livia,non-standardized,climate-based,IV,0.51
Columba livia,non-standardized,combination,IV,0.51
Columba livia,non-standardized,habitat-based,IV,0.54
Columba oenas,non-standardized,climate-based,II,0.79
Columba oenas,non-standardized,combination,II,0.78
Columba oenas,non-standardized,habitat-based,II,0.64
Columba palumbus,non-standardized,climate-based,IV,0.54
Columba palumbus,non-standardized,combination,IV,0.54
Columba palumbus,non-standardized,habitat-based,IV,0.53
Coracias garrulus,non-standardized,climate-based,II,0.59
Coracias garrulus,non-standardized,combination,II,0.56
Coracias garrulus,non-standardized,habitat-based,II,0.52
Corvus corax,non-standardized,climate-based,IV,0.69
Corvus corax,non-standardized,combination,IV,0.68
Corvus corax,non-standardized,habitat-based,IV,0.62
Corvus corone,non-standardized,climate-based,IV,0.83
Corvus corone,non-standardized,combination,IV,0.78
Corvus corone,non-standardized,habitat-based,IV,0.69
Corvus frugilegus,non-standardized,climate-based,I,0.67
Corvus frugilegus,non-standardized,combination,I,0.62
Corvus frugilegus,non-standardized,habitat-based,I,0.67
Coturnix coturnix,non-standardized,climate-based,II,0.5
Coturnix coturnix,non-standardized,combination,II,0.56
Coturnix coturnix,non-standardized,habitat-based,II,0.57
Cuculus canorus,non-standardized,climate-based,III,0.67
Cuculus canorus,non-standardized,combination,III,0.66
Cuculus canorus,non-standardized,habitat-based,III,0.62
Cyanistes caeruleus,non-standardized,climate-based,IV,0.72
Cyanistes caeruleus,non-standardized,combination,IV,0.71
Cyanistes caeruleus,non-standardized,habitat-based,IV,0.71
Cyanopica cooki,non-standardized,climate-based,III,0.87
Cyanopica cooki,non-standardized,combination,III,0.87
Cyanopica cooki,non-standardized,habitat-based,III,0.83
Cygnus olor,non-standardized,climate-based,I,0.93
Cygnus olor,non-standardized,combination,I,0.81
Cygnus olor,non-standardized,habitat-based,I,0.81
Delichon urbicum,non-standardized,climate-based,IV,0.57
Delichon urbicum,non-standardized,combination,IV,0.58
Delichon urbicum,non-standardized,habitat-based,IV,0.56
Dendrocopos major,non-standardized,climate-based,III,0.77
Dendrocopos major,non-standardized,combination,III,0.75
Dendrocopos major,non-standardized,habitat-based,III,0.74
Dendrocopos minor,non-standardized,climate-based,II,0.81
Dendrocopos minor,non-standardized,combination,II,0.82
Dendrocopos minor,non-standardized,habitat-based,II,0.76
Dryocopus martius,non-standardized,climate-based,I,0.98
Dryocopus martius,non-standardized,combination,I,0.97
Dryocopus martius,non-standardized,habitat-based,I,0.95
Egretta garzetta,non-standardized,climate-based,III,0.86
Egretta garzetta,non-standardized,combination,III,0.83
Egretta garzetta,non-standardized,habitat-based,III,0.82
Elanus caeruleus,non-standardized,climate-based,II,0.82
Elanus caeruleus,non-standardized,combination,II,0.84
Elanus caeruleus,non-standardized,habitat-based,II,0.84
Emberiza calandra,non-standardized,climate-based,IV,0.69
Emberiza calandra,non-standardized,combination,IV,0.67
Emberiza calandra,non-standardized,habitat-based,IV,0.72
Emberiza cia,non-standardized,climate-based,III,0.7
Emberiza cia,non-standardized,combination,III,0.64
Emberiza cia,non-standardized,habitat-based,III,0.68
Emberiza cirlus,non-standardized,climate-based,III,0.69
Emberiza cirlus,non-standardized,combination,III,0.67
Emberiza cirlus,non-standardized,habitat-based,III,0.63
Emberiza citrinella,non-standardized,climate-based,II,0.94
Emberiza citrinella,non-standardized,combination,II,0.93
Emberiza citrinella,non-standardized,habitat-based,II,0.94
Emberiza hortulana,non-standardized,climate-based,II,0.8
Emberiza hortulana,non-standardized,combination,II,0.78
Emberiza hortulana,non-standardized,habitat-based,II,0.76
Emberiza schoeniclus,non-standardized,climate-based,II,0.78
Emberiza schoeniclus,non-standardized,combination,II,0.74
Emberiza schoeniclus,non-standardized,habitat-based,II,0.64
Erithacus rubecula,non-standardized,climate-based,IV,0.65
Erithacus rubecula,non-standardized,combination,IV,0.65
Erithacus rubecula,non-standardized,habitat-based,IV,0.66
Falco naumanni,non-standardized,climate-based,II,0.79
Falco naumanni,non-standardized,combination,II,0.8
Falco naumanni,non-standardized,habitat-based,II,0.77
Falco peregrinus,non-standardized,climate-based,III,0.62
Falco peregrinus,non-standardized,combination,III,0.57
Falco peregrinus,non-standardized,habitat-based,III,0.53
Falco subbuteo,non-standardized,climate-based,II,0.66
Falco subbuteo,non-standardized,combination,II,0.69
Falco subbuteo,non-standardized,habitat-based,II,0.61
Falco tinnunculus,non-standardized,climate-based,IV,0.55
Falco tinnunculus,non-standardized,combination,IV,0.55
Falco tinnunculus,non-standardized,habitat-based,IV,0.53
Ficedula hypoleuca,non-standardized,climate-based,III,0.55
Ficedula hypoleuca,non-standardized,combination,III,0.53
Ficedula hypoleuca,non-standardized,habitat-based,III,0.5
Fringilla coelebs,non-standardized,climate-based,IV,0.59
Fringilla coelebs,non-standardized,combination,IV,0.58
Fringilla coelebs,non-standardized,habitat-based,IV,0.61
Fulica atra,non-standardized,climate-based,III,0.69
Fulica atra,non-standardized,combination,III,0.7
Fulica atra,non-standardized,habitat-based,III,0.68
Fulica cristata,non-standardized,climate-based,I,0.88
Fulica cristata,non-standardized,combination,I,0.85
Fulica cristata,non-standardized,habitat-based,I,0.8
Galerida cristata,non-standardized,climate-based,IV,0.77
Galerida cristata,non-standardized,combination,IV,0.73
Galerida cristata,non-standardized,habitat-based,IV,0.75
Galerida theklae,non-standardized,climate-based,III,0.72
Galerida theklae,non-standardized,combination,III,0.71
Galerida theklae,non-standardized,habitat-based,III,0.69
Gallinago gallinago,non-standardized,climate-based,II,0.71
Gallinago gallinago,non-standardized,combination,II,0.74
Gallinago gallinago,non-standardized,habitat-based,II,0.69
Gallinula chloropus,non-standardized,climate-based,III,0.69
Gallinula chloropus,non-standardized,combination,III,0.67
Gallinula chloropus,non-standardized,habitat-based,III,0.67
Garrulus glandarius,non-standardized,climate-based,IV,0.8
Garrulus glandarius,non-standardized,combination,IV,0.78
Garrulus glandarius,non-standardized,habitat-based,IV,0.78
Glareola pratincola,non-standardized,climate-based,II,0.92
Glareola pratincola,non-standardized,combination,II,0.91
Glareola pratincola,non-standardized,habitat-based,II,0.85
Gypaetus barbatus,non-standardized,climate-based,II,0.99
Gypaetus barbatus,non-standardized,combination,II,0.99
Gypaetus barbatus,non-standardized,habitat-based,II,0.92
Gyps fulvus,non-standardized,climate-based,IV,0.73
Gyps fulvus,non-standardized,combination,IV,0.7
Gyps fulvus,non-standardized,habitat-based,IV,0.64
Haematopus ostralegus,non-standardized,climate-based,II,0.95
Haematopus ostralegus,non-standardized,combination,II,0.82
Haematopus ostralegus,non-standardized,habitat-based,II,0.85
Hieraaetus pennatus,non-standardized,climate-based,III,0.61
Hieraaetus pennatus,non-standardized,combination,III,0.62
Hieraaetus pennatus,non-standardized,habitat-based,III,0.62
Himantopus himantopus,non-standardized,climate-based,II,0.8
Himantopus himantopus,non-standardized,combination,II,0.78
Himantopus himantopus,non-standardized,habitat-based,II,0.78
Hippolais polyglotta,non-standardized,climate-based,III,0.58
Hippolais polyglotta,non-standardized,combination,III,0.56
Hippolais polyglotta,non-standardized,habitat-based,III,0.56
Hirundo rustica,non-standardized,climate-based,IV,0.53
Hirundo rustica,non-standardized,combination,IV,0.54
Hirundo rustica,non-standardized,habitat-based,IV,0.54
Hydrobates pelagicus,non-standardized,climate-based,I,0.98
Hydrobates pelagicus,non-standardized,combination,I,0.94
Hydrobates pelagicus,non-standardized,habitat-based,I,0.76
Iduna opaca,non-standardized,climate-based,I,0.81
Iduna opaca,non-standardized,combination,I,0.84
Iduna opaca,non-standardized,habitat-based,I,0.67
Ixobrychus minutus,non-standardized,climate-based,II,0.77
Ixobrychus minutus,non-standardized,combination,II,0.71
Ixobrychus minutus,non-standardized,habitat-based,II,0.72
Jynx torquilla,non-standardized,climate-based,II,0.63
Jynx torquilla,non-standardized,combination,II,0.64
Jynx torquilla,non-standardized,habitat-based,II,0.55
Lanius collurio,non-standardized,climate-based,II,0.96
Lanius collurio,non-standardized,combination,II,0.95
Lanius collurio,non-standardized,habitat-based,II,0.93
Lanius senator,non-standardized,climate-based,III,0.8
Lanius senator,non-standardized,combination,III,0.76
Lanius senator,non-standardized,habitat-based,III,0.77
Larus fuscus,non-standardized,climate-based,III,0.91
Larus fuscus,non-standardized,combination,III,0.9
Larus fuscus,non-standardized,habitat-based,III,0.78
Larus michahellis,non-standardized,climate-based,III,0.87
Larus michahellis,non-standardized,combination,III,0.84
Larus michahellis,non-standardized,habitat-based,III,0.8
Leiopicus medius,non-standardized,climate-based,I,0.97
Leiopicus medius,non-standardized,combination,I,0.97
Leiopicus medius,non-standardized,habitat-based,I,0.97
Linaria cannabina,non-standardized,climate-based,IV,0.5
Linaria cannabina,non-standardized,combination,IV,0.51
Linaria cannabina,non-standardized,habitat-based,IV,0.54
Locustella luscinioides,non-standardized,climate-based,I,0.87
Locustella luscinioides,non-standardized,combination,I,0.8
Locustella luscinioides,non-standardized,habitat-based,I,0.73
Locustella naevia,non-standardized,climate-based,I,0.89
Locustella naevia,non-standardized,combination,I,0.86
Locustella naevia,non-standardized,habitat-based,I,0.79
Lophophanes cristatus,non-standardized,climate-based,III,0.76
