Species,Data_source,Predictor,Distributional_range,Model_score
Aythya fuligula,standardized,climate-based,I,0.98
Aythya fuligula,standardized,combination,I,0.96
Aythya fuligula,standardized,habitat-based,I,0.96
Aythya nyroca,standardized,climate-based,I,1
Aythya nyroca,standardized,combination,I,1
Aythya nyroca,standardized,habitat-based,I,0.98
Botaurus stellaris,standardized,climate-based,I,0.97
Botaurus stellaris,standardized,combination,I,0.97
Botaurus stellaris,standardized,habitat-based,I,0.96
Bubo bubo,standardized,climate-based,IV,0.85
Bubo bubo,standardized,combination,IV,0.83
Bubo bubo,standardized,habitat-based,IV,0.84
Bubulcus ibis,standardized,climate-based,III,0.92
Bubulcus ibis,standardized,combination,III,0.92
Bubulcus ibis,standardized,habitat-based,III,0.88
Bucanetes githagineus,standardized,climate-based,I,1
Bucanetes githagineus,standardized,combination,I,1
Bucanetes githagineus,standardized,habitat-based,I,0.99
Burhinus oedicnemus,standardized,climate-based,IV,0.86
Burhinus oedicnemus,standardized,combination,IV,0.87
Burhinus oedicnemus,standardized,habitat-based,IV,0.87
Buteo buteo,standardized,climate-based,IV,0.87
Buteo buteo,standardized,combination,IV,0.86
Buteo buteo,standardized,habitat-based,IV,0.84
Calandrella brachydactyla,standardized,climate-based,IV,0.86
Calandrella brachydactyla,standardized,combination,IV,0.86
Calandrella brachydactyla,standardized,habitat-based,IV,0.84
Calandrella rufescens,standardized,climate-based,I,0.99
Calandrella rufescens,standardized,combination,I,0.98
Calandrella rufescens,standardized,habitat-based,I,0.98
Caprimulgus europaeus,standardized,climate-based,IV,0.88
Caprimulgus europaeus,standardized,combination,IV,0.87
Caprimulgus europaeus,standardized,habitat-based,IV,0.84
Caprimulgus ruficollis,standardized,climate-based,IV,0.88
Caprimulgus ruficollis,standardized,combination,IV,0.87
Caprimulgus ruficollis,standardized,habitat-based,IV,0.84
Carduelis carduelis,standardized,climate-based,IV,0.9
Carduelis carduelis,standardized,combination,IV,0.92
Carduelis carduelis,standardized,habitat-based,IV,0.92
Carduelis citrinella,standardized,climate-based,II,0.97
Carduelis citrinella,standardized,combination,II,0.95
Carduelis citrinella,standardized,habitat-based,II,0.94
Cecropis daurica,standardized,climate-based,IV,0.93
Cecropis daurica,standardized,combination,IV,0.93
Cecropis daurica,standardized,habitat-based,IV,0.87
Certhia brachydactyla,standardized,climate-based,IV,0.87
Certhia brachydactyla,standardized,combination,IV,0.86
Certhia brachydactyla,standardized,habitat-based,IV,0.84
Certhia familiaris,standardized,climate-based,II,0.99
Certhia familiaris,standardized,combination,II,0.98
Certhia familiaris,standardized,habitat-based,II,0.99
Cettia cetti,standardized,climate-based,IV,0.87
Cettia cetti,standardized,combination,IV,0.95
Cettia cetti,standardized,habitat-based,IV,0.86
Charadrius alexandrinus,standardized,climate-based,II,0.94
Charadrius alexandrinus,standardized,combination,II,0.91
Charadrius alexandrinus,standardized,habitat-based,II,0.86
Charadrius dubius,standardized,climate-based,IV,0.83
Charadrius dubius,standardized,combination,IV,0.82
Charadrius dubius,standardized,habitat-based,IV,0.8
Chersophilus duponti,standardized,climate-based,II,0.95
Chersophilus duponti,standardized,combination,II,0.95
Chersophilus duponti,standardized,habitat-based,II,0.92
Chlidonias hybrida,standardized,climate-based,II,0.93
Chlidonias hybrida,standardized,combination,II,0.91
Chlidonias hybrida,standardized,habitat-based,II,0.89
Chlidonias niger,standardized,climate-based,I,0.96
Chlidonias niger,standardized,combination,I,0.95
Chlidonias niger,standardized,habitat-based,I,0.93
Chloris chloris,standardized,climate-based,IV,0.88
Chloris chloris,standardized,combination,IV,0.88
Chloris chloris,standardized,habitat-based,IV,0.9
Ciconia ciconia,standardized,climate-based,IV,0.89
